optimizer,estimator,generator,acquisitor,Wp0,Wn0,Wp2,Wp1,Wn2,Wn1,t_phl,t_plh,v_il,v_ih,cost,time_stamp
forest_minimize,GP,random,LCB,2.3076649419419734e-05,1.4852534288725128e-05,3.057749728203677e-05,1.7224117001081345e-06,2.8832890088130935e-06,8.497125564986081e-07,0.9884828458995508,1.5691887411044705,6.143632269584032e-10,8.019798158898084e-10,0.6975990457577382,083621-211110
forest_minimize,GP,random,EI,1.5961057841843195e-06,9.97988377247056e-07,1.0341360560534985e-06,8.024688995890638e-06,4.782841655865556e-07,4.932688782271802e-06,1.2569322359607298,1.7082530261412396,5.765912192146061e-10,8.505107729206429e-10,0.535311333713136,083718-211110
forest_minimize,GP,random,PI,3.096762156963467e-06,3.3590763210281322e-06,6.00473137842223e-06,3.4298159546547936e-06,1.748015385693917e-05,1.6266015158819336e-06,0.9068515229088157,2.564018557415353,7.833573789639559e-10,8.040101917572429e-10,0.668945466658095,083819-211110
forest_minimize,GP,random,gp_hedge,5.062222710708575e-05,4.914711079426426e-07,2.1559077206090433e-05,1.1380654507287926e-06,4.332608046952731e-07,1.1410087606645628e-06,1.3676327961564823,1.9882401790032227,1.1067893268545959e-09,8.65855831477802e-10,0.49847781663630036,083916-211110
forest_minimize,GP,sobol,LCB,0.0001305456488693979,1.414166925701706e-05,1.0711319164426038e-05,1.2729181334538832e-06,4.296665438748644e-05,8.78867731217779e-07,1.4227546334668864,2.432647796104705,9.202967277133212e-10,8.762990333366361e-10,0.5471487127091342,084038-211110
forest_minimize,GP,sobol,EI,4.919848774144278e-06,3.424086690126929e-06,5.072789710051864e-07,4.818132801920787e-05,8.581691989036547e-06,6.172707855388104e-05,1.387177972419959,2.315324282496391,6.430971311033318e-10,7.957376979561559e-10,0.4163416428854699,084137-211110
forest_minimize,GP,sobol,PI,0.00013650719425660886,2.206770102808148e-05,1.725901052771399e-05,1.0659762555078907e-06,4.7067823351199883e-07,4.0399673148534566e-07,1.5211339590006296,1.5426717018251244,8.831375630791172e-10,8.076685986679877e-10,0.4491599943639154,084241-211110
forest_minimize,GP,sobol,gp_hedge,0.0001305456488693979,1.414166925701706e-05,1.0711319164426038e-05,1.2729181334538832e-06,4.296665438748644e-05,8.78867731217779e-07,1.4227546334668864,2.432647796104705,9.202967277133212e-10,8.762990333366361e-10,0.5471487127091342,084343-211110
forest_minimize,GP,halton,LCB,3.976440102138725e-06,0.00012390240050958612,1.34524305799836e-06,1.9818606655358868e-05,0.0001489019866954274,9.459825438910451e-07,1.5411783595624295,2.1487004239229006,9.257945521312649e-10,6.394440532631052e-10,0.6014491039364296,084507-211110
forest_minimize,GP,halton,EI,4.339962443762326e-06,3.211531996601837e-05,4.035849512159473e-06,0.00014776126848156114,3.690195808000769e-05,4.718411678436572e-06,1.1619184136883598,2.0511812989267533,8.113687499644584e-10,1.0918945747562248e-09,0.5702867861761682,084611-211110
