optimizer,estimator,generator,acquisitor,wn0,wn1,wn2,wn3,wp,vs0,vs1,vs2,vs3,cost,time_stamp
forest_minimize,GP,random,LCB,8.419830124695375e-06,2.0766260571185493e-05,1.9456885114976187e-05,6.157505197363639e-05,2.3767778516371433e-05,1.6708661614414329,1.6227229197347708,1.6924291999607708,1.6375214816247559,0.06245512729859213,184637-211102
forest_minimize,GP,random,EI,5.876781753931648e-07,1.078106343702957e-06,3.3928867515721827e-06,2.2610072994727697e-06,1.7616946498239926e-06,1.658643027937845,1.6549535676813838,1.587793051692737,1.652379942316084,0.04738393105610673,184747-211102
forest_minimize,GP,random,PI,2.792809804945114e-06,5.8890899802970745e-06,1.3171843137554253e-05,2.1876184421296182e-05,8.371121510575056e-06,1.6856575012015014,1.6623787682186957,1.6304545219644,1.6215365068803678,0.058209236712381394,184851-211102
forest_minimize,GP,random,gp_hedge,1.5825941353111182e-05,2.76732329471584e-05,4.456670879961225e-05,0.00014829112962893063,4.0686149585032996e-05,1.638410906899529,1.6508089712617993,1.6568804845470149,1.601413428225127,0.04113037617221715,184956-211102
forest_minimize,GP,sobol,LCB,1.1949693084681158e-05,2.3427176608916315e-05,5.284726721077745e-05,7.915384143535525e-05,3.3503060473580016e-05,1.6673423358861281,1.6593447874527725,1.6272694369330998,1.6267084229644924,0.04406622026745967,185125-211102
forest_minimize,GP,sobol,EI,4.037029821053537e-07,1.076777574836309e-06,1.71754677935667e-06,4.18422145204303e-06,1.4856430515538242e-06,1.7027195874573053,1.6482164976784324,1.6515280928395024,1.6154418065922127,0.0549026521370683,185230-211102
forest_minimize,GP,sobol,PI,1.4975467465687805e-05,1.987140489887002e-05,5.46647034921143e-05,0.00014372469411560874,3.8987586173260475e-05,1.6436879432245939,1.7102940096101604,1.6590622064218843,1.6225479658361424,0.06249715574018695,185335-211102
forest_minimize,GP,sobol,gp_hedge,1.9108098033915957e-05,3.094745503587215e-05,5.5846901842647964e-05,0.00010508235473149107,4.7946498639419893e-05,1.6314619903846301,1.6577846116950166,1.6509429211002102,1.6350557239751007,0.025581708142724837,185442-211102
forest_minimize,GP,halton,LCB,9.578483047033075e-06,5.9211761308891416e-05,6.333877401937502e-05,0.00014297662659000618,3.889694083333695e-05,1.7869969143463822,1.634795248517975,1.6619428224424697,1.6362417202741626,0.10781985939194802,185616-211102
forest_minimize,GP,halton,EI,5.27884005507377e-05,0.0001285031857026979,0.0001418333247336402,0.00014239898075626102,0.0001430244676942282,1.6574554785786293,1.6133791038092051,1.6615782317790586,1.7098702676226714,0.07001507525524504,185717-211102
forest_minimize,GP,halton,PI,3.2590073590088593e-06,5.376835106787672e-06,8.408257038835776e-06,1.993313939138722e-05,8.714434769295262e-06,1.651610645631999,1.6697986827164573,1.6797177682528515,1.6462879162372694,0.03323586688729604,185822-211102
forest_minimize,GP,halton,gp_hedge,5.7562852535692485e-06,8.323601443926151e-06,1.1596916969594382e-05,3.0473941804838833e-05,1.3357958954975873e-05,1.6054578357895286,1.6508096113806616,1.6773261026464517,1.6349570677616927,0.05316412756114665,185933-211102
forest_minimize,GP,hammersly,LCB,1.3078220794697457e-05,2.8732578712294186e-05,4.727678691049021e-05,0.00011337083540375337,3.829025448185294e-05,1.6814160612909492,1.655008228215471,1.6562057639118077,1.623583769782488,0.04184623250650919,190113-211102
forest_minimize,GP,hammersly,EI,1.1075037135465448e-05,1.5241681469693942e-05,0.00014765410986333145,9.260288775341633e-05,3.324539419721149e-05,1.6906324794811434,1.7503385820070854,1.6120664921238428,1.6503335439377838,0.10862915957707267,190231-211102
forest_minimize,GP,hammersly,PI,5.414193030454379e-06,1.581959653619094e-05,1.5563065823210225e-05,2.2910211330411327e-05,1.526271182734658e-05,1.669493324123752,1.5931409016238627,1.6504029491160161,1.6566980855639724,0.05057785283628967,190343-211102
forest_minimize,GP,hammersly,gp_hedge,1.4543283159327902e-05,2.2245208886245738e-05,4.5925415631685886e-05,0.0001320806845876023,3.727681427051214e-05,1.6382594703408855,1.6758146985767906,1.6539651353130749,1.609628044373134,0.04963170859142185,190453-211102
forest_minimize,GP,lhs,LCB,4.175162293824533e-07,7.695206376419553e-07,5.434360685209646e-07,2.7517412162623382e-06,1.253978739587917e-06,1.6491973313949493,1.65339351861677,1.7688511252511092,1.6768212674347798,0.09082944236830907,190625-211102
forest_minimize,GP,lhs,EI,4.0441405677507634e-07,9.021894185497498e-07,1.1414675518573173e-06,0.00012156137302069486,1.4225107188971452e-06,1.680378814582174,1.6574357611330215,1.6867201545908745,1.5178467762064833,0.1252654267270224,190731-211102
forest_minimize,GP,lhs,PI,5.434316163014998e-06,1.3154954160719936e-05,2.2792206148185393e-05,3.2030457180586e-05,1.7319618892983565e-05,1.7088022564866368,1.6666105835314649,1.6609935589752203,1.6667366892527138,0.06251096257335516,190835-211102
forest_minimize,GP,lhs,gp_hedge,4.1420795928531e-06,1.2321168240944126e-05,1.3765336499343451e-05,2.8456747275685338e-05,1.2900105593378512e-05,1.7008149425310306,1.6249412961594323,1.6651559058466148,1.6420095121257399,0.06001214551058984,190946-211102
forest_minimize,GP,grid,LCB,1.2183086127992013e-05,2.6241135975667746e-05,4.424502242714268e-05,4.292587881154492e-05,3.2349660572893536e-05,1.6492829741743493,1.6237212142286255,1.6212124899282718,1.6636031800830633,0.04205242530413121,191122-211102
forest_minimize,GP,grid,EI,1.2183086127992013e-05,2.6241135975667746e-05,4.424502242714268e-05,4.292587881154492e-05,3.2349660572893536e-05,1.6492829741743493,1.6237212142286255,1.6212124899282718,1.6636031800830633,0.04205242530413121,191229-211102
forest_minimize,GP,grid,PI,1.0145462806568697e-05,2.658971773689769e-05,3.276309474352254e-05,3.7970522264048364e-05,2.9155516657075485e-05,1.6761417836633108,1.6193370627056474,1.6511843929665986,1.67925537119982,0.05287544552974675,191338-211102
forest_minimize,GP,grid,gp_hedge,1.0145462806568697e-05,2.658971773689769e-05,3.276309474352254e-05,3.7970522264048364e-05,2.9155516657075485e-05,1.6761417836633108,1.6193370627056474,1.6511843929665986,1.67925537119982,0.05287544552974675,191446-211102
forest_minimize,RF,random,LCB,4.151355213486952e-07,2.1316465388413517e-05,3.562155962820773e-05,2.64415052560945e-05,2.8292304164904373e-06,1.9037929543959453,1.6602023999906792,1.6516550118133508,1.6623521039743967,0.1684863455602257,191613-211102
forest_minimize,RF,random,EI,2.6981556325348956e-05,5.6702967967968854e-05,0.00013593667894932593,2.9470189560905354e-05,7.607795336381322e-05,1.6765637331977425,1.6566631600790482,1.618300836120673,1.8435054869477723,0.15662517824478198,192313-211102
forest_minimize,RF,random,PI,7.781179245510534e-07,1.9704389926661544e-06,1.0707528765985051e-06,3.664143973728541e-06,1.9891707062652524e-06,1.6170045001833908,1.5581940361005833,1.7177756692725388,1.6452416274290689,0.11959727609666403,193003-211102
forest_minimize,RF,random,gp_hedge,3.250826093538034e-05,7.496367535641148e-05,6.267030290905662e-05,0.00013204644367398362,7.353298888127058e-05,1.5958687016384943,1.555706156813452,1.6468580278274136,1.6213593843060623,0.1092168057058045,193700-211102
forest_minimize,RF,sobol,LCB,7.061014691844461e-06,1.4152449123177443e-05,9.343238067758388e-05,3.8866371827094054e-05,1.93858293776643e-05,1.659628020416871,1.646006376815869,1.528616489829148,1.6057776443980776,0.10862273295380369,194434-211102
